time_iso8601,stars_cumulative
2022-02-17 00:00:00+00:00,1
2022-02-20 00:00:00+00:00,2
2022-02-27 00:00:00+00:00,3
2022-03-02 00:00:00+00:00,4
2022-03-19 00:00:00+00:00,6
2022-03-29 00:00:00+00:00,7
2022-03-30 00:00:00+00:00,8
2022-04-03 00:00:00+00:00,9
2022-04-12 00:00:00+00:00,10
2022-04-30 00:00:00+00:00,11
2022-05-06 00:00:00+00:00,13
2022-05-07 00:00:00+00:00,16
2022-05-16 00:00:00+00:00,18
2022-05-23 00:00:00+00:00,19
2022-05-24 00:00:00+00:00,20
2022-05-25 00:00:00+00:00,21
2022-06-08 00:00:00+00:00,22
2022-06-09 00:00:00+00:00,24
2022-06-10 00:00:00+00:00,25
2022-06-12 00:00:00+00:00,26
2022-06-13 00:00:00+00:00,27
2022-06-14 00:00:00+00:00,28
2022-06-17 00:00:00+00:00,30
2022-06-19 00:00:00+00:00,31
2022-06-22 00:00:00+00:00,33
2022-06-26 00:00:00+00:00,35
2022-06-30 00:00:00+00:00,36
2022-07-03 00:00:00+00:00,37
2022-07-17 00:00:00+00:00,38
2022-07-18 00:00:00+00:00,39
2022-07-21 00:00:00+00:00,41
2022-07-26 00:00:00+00:00,42
2022-07-29 00:00:00+00:00,45
2022-08-02 00:00:00+00:00,46
2022-08-08 00:00:00+00:00,47
2022-08-11 00:00:00+00:00,48
2022-08-20 00:00:00+00:00,49
2022-08-22 00:00:00+00:00,50
2022-09-02 00:00:00+00:00,51
2022-09-05 00:00:00+00:00,53
2022-09-06 00:00:00+00:00,54
2022-09-08 00:00:00+00:00,55
2022-09-11 00:00:00+00:00,56
2022-09-14 00:00:00+00:00,57
2022-09-18 00:00:00+00:00,58
2022-09-19 00:00:00+00:00,59
